transaction_id,user_id,transaction_date,product_category,amount_usd
TX_100000,USR_10510,2025-02-21,Equities,122.82
TX_100001,USR_10537,2025-07-09,Robo-Advisory,87.05
TX_100002,USR_12260,2024-11-27,Equities,599.88
TX_100003,USR_12944,2024-10-03,Robo-Advisory,1108.73
TX_100004,USR_13874,2025-02-05,High-Yield Savings,1759.71
TX_100005,USR_11366,2024-02-05,Crypto,230.75
TX_100006,USR_11061,2025-08-04,Robo-Advisory,197.48
TX_100007,USR_14328,2025-04-12,Equities,271.91
TX_100008,USR_12307,2025-11-23,High-Yield Savings,2037.97
TX_100009,USR_10307,2024-05-27,Robo-Advisory,379.81
TX_100010,USR_14498,2025-04-24,Crypto,99.22
TX_100011,USR_10996,2024-08-10,Equities,759.17
TX_100012,USR_11284,2025-04-12,High-Yield Savings,189.14
TX_100013,USR_14845,2025-09-18,High-Yield Savings,181.27
TX_100014,USR_11129,2024-05-06,Crypto,195.36
TX_100015,USR_10303,2025-08-28,Equities,2020.09
TX_100016,USR_13891,2024-09-15,Robo-Advisory,77.17
TX_100017,USR_10854,2025-06-03,Equities,1542.6
TX_100018,USR_11745,2024-09-12,Crypto,539.56
TX_100019,USR_10817,2025-02-10,High-Yield Savings,222.36
TX_100020,USR_13649,2025-09-21,Equities,353.25
TX_100021,USR_10972,2025-05-27,High-Yield Savings,785.42
TX_100022,USR_14133,2024-01-02,Crypto,46.22
TX_100023,USR_11178,2025-08-08,Robo-Advisory,199.37
TX_100024,USR_10104,2024-10-19,Robo-Advisory,568.28
TX_100025,USR_10254,2024-04-03,Equities,1290.24
TX_100026,USR_12535,2024-02-20,High-Yield Savings,584.31
TX_100027,USR_10590,2024-06-20,Crypto,47.55
TX_100028,USR_10524,2024-05-31,High-Yield Savings,985.95
TX_100029,USR_10369,2024-06-08,Equities,224.87
TX_100030,USR_14197,2024-07-02,Robo-Advisory,255.28
TX_100031,USR_12963,2024-07-10,High-Yield Savings,1274.97
TX_100032,USR_10663,2024-06-06,Equities,843.89
TX_100033,USR_10689,2024-06-14,High-Yield Savings,1369.12
TX_100034,USR_12646,2024-04-28,High-Yield Savings,1015.94
TX_100035,USR_12588,2025-09-29,High-Yield Savings,1445.02
TX_100036,USR_11535,2025-11-25,Equities,176.88
TX_100037,USR_12028,2025-02-12,Equities,1406.84
TX_100038,USR_11856,2024-02-14,Crypto,166.86
TX_100039,USR_13186,2024-07-08,Robo-Advisory,586.35
TX_100040,USR_12769,2024-05-14,Crypto,46.73
TX_100041,USR_12987,2024-06-03,High-Yield Savings,1474.59
TX_100042,USR_14475,2024-08-17,Robo-Advisory,32.3
TX_100043,USR_11148,2024-01-23,High-Yield Savings,290.65
TX_100044,USR_10780,2024-06-08,Robo-Advisory,68.74
TX_100045,USR_14405,2025-05-28,Crypto,335.71
TX_100046,USR_12153,2024-07-21,Crypto,103.56
TX_100047,USR_10555,2025-11-04,Equities,619.01
TX_100048,USR_13296,2024-07-07,Equities,1889.71
TX_100049,USR_13313,2024-04-20,Equities,1088.54
TX_100050,USR_14492,2025-01-16,High-Yield Savings,1230.68
TX_100051,USR_12583,2024-09-22,Equities,198.65
TX_100052,USR_13707,2025-04-17,Crypto,35.6
TX_100053,USR_13868,2025-10-03,Robo-Advisory,368.73
